,details,location
0,"The Minaret of Jam is a UNESCO World Heritage Site in western Afghanistan. It is located in a remote and nearly inaccessible region of the Shahrak District, Ghor Province, next to the Hari River. The 62-metre (203 ft) high minaret was built around 1190 entirely of baked bricks and is famous for its intricate brick, stucco and glazed tile decoration, which consists of alternating bands of kufic and naskhi calligraphy, geometric patterns, and verses from the Qur'an. As of 2013 the minaret remained on the list of World Heritage in Danger, under serious threat of erosion, and was not actively being preserved. In 2014 the BBC reported that the tower was in imminent danger of collapse.",Jam Minaret Afghanistan
1,"Kabul (/kbl/; Pashto: , Persian: , pronounced [kbul]) is the capital of Afghanistan as well as its largest city, located in the eastern section of the country. According to a 2015 estimate, the population of the city was around 3,678,034 which includes all the major ethnic groups. Rapid urbanization had made Kabul the world's 64th largest city and the fifth fastest-growing city in the world. Kabul is over 3,500 years old and many empires have controlled the city which is at a strategic location along the trade routes of South and Central Asia. It has been ruled by the Achaemenids, Seleucids, Mauryans, Kushans, Kabul Shahis, Saffarids, Ghaznavids, and Ghurids. Later it was controlled by the Mughal Empire until finally becoming part of the Durrani Empire with help from the Afsharid dynasty. During the Soviet war in Afghanistan the city continued to be an economic center and was relatively safe. Between 1992 and 1996, a civil war between militant groups devastated Kabul and caused the deaths of thousands of civilians, serious damage to infrastructure, and an exodus of refugees. Since the Taliban's fall from power in November 2001, the Afghan government and other countries have attempted to rebuild the city, although the Taliban insurgents have slowed the re-construction efforts and staged major attacks against the government, the NATO-led forces, foreign diplomats and Afghan civilians.",Kabul Old City Afghanistan
2,"The Khyber Pass (Pashto:   , Urdu:  ) (elevation: 1,070 m or 3,510 ft) is a mountain pass connecting Afghanistan and Pakistan, cutting through the northeastern part of the Spin Ghar mountains. An integral part of the ancient Silk Road, it is one of the oldest known passes in the world. Throughout history it has been an important trade route between Central Asia and the Indian Subcontinent and a strategic military location. The summit of the pass is 5 kilometres (3.1 mi) inside Pakistan at Landi Kotal. The Khyber Pass is part of the Asian Highway 1 (AH1). ""Khyber"" is the Hebrew word for fort.",Khyber Pass  [with Pakistan] Afghanistan
3,"Beni Hammad Fort, also called Al Qal'a of Beni Hammad (Arabic:   ) is a fortified palatine city in Algeria. Now in ruins, in the 11th century, it served as the first capital of the Hammadid dynasty. It is in the Hodna Mountains northeast of M'Sila, at an elevation of 1,418 metres (4,652 ft), and receives abundant water from the surrounding mountains. Beni Hammad Fort is near the town of Maadid (aka Maadhid), about 225 kilometres (140 mi) southeast of Algiers, in the Maghreb. In 1980, it was inscribed as a World Heritage Site by UNESCO, and described as ""an authentic picture of a fortified Muslim city"". The town includes a 7-kilometre (4 mi) long line of walls. Inside the walls are four residential complexes, and the largest mosque built in Algeria after that of Mansurah. It is similar in design to the Grand Mosque of Kairouan, with a tall minaret, 20 metres (66 ft). Excavations have brought to light numerous terracotta, jewels, coins and ceramics testifying to the high level of civilization under the Hammadid dynasty. Also among the artifacts discovered are several decorative fountains using the lion as a motif. The remains of the emir's palace, known as Dal al-Bahr, include three separate residences separated by gardens and pavilions.",Al Qal'a of Beni Hammad Algeria
4,"The Casbah (Arabic: , qaba, meaning citadel (fortress)) is specifically the citadel of Algiers in Algeria and the traditional quarter clustered around it. More generally, a kasbah is the walled citadel of many North African cities and towns. The name made its way into English from French in the late 19th century (the Oxford English Dictionary states 1895), and often is spelled ""kasbah,"" but also ""casbah.""",Algiers Kasbah Algeria
5,"Djmila (Kabyle: amila; Arabic: , the Beautiful one, Latin: Cuicul or Curculum), formerly Cuicul, is a small mountain village in Algeria, near the northern coast east of Algiers, where some of the best preserved Berbero-Roman ruins in North Africa are found. It is situated in the region bordering the Constantinois and Petite Kabylie (Basse Kabylie). In 1982, Djmila became a UNESCO World Heritage Site for its unique adaptation of Roman architecture to a mountain environment. Significant buildings in ancient Cuicul include a theatre, two fora, temples, basilicas, arches, streets, and houses. The exceptionally well preserved ruins surround the forum of the Harsh, a large paved square with an entry marked by a majestic arch.",Djemila Algeria
6,"The M'zab or Mzab, (Mozabite Aghlan, Arabic: ), is a natural region of the northern Sahara Desert in Ghardaa Province, Algeria. It is located 600 km (370 mi) south of Algiers and there are approximately 360,000 inhabitants (2005 estimate).",M'zab Valley Algeria
7,"Princess Cruises is a cruise line based in Santa Clarita, California, in the United States and incorporated in Bermuda. Previously a subsidiary of P&O Princess Cruises, the company is now one of ten cruise ship brands owned by the world's largest cruise ship operator the American/British Carnival Corporation & plc and accounts for approximately 19% share of its revenue. It is part of Holland America Group, which controls the three Carnival brands based on the West Coast of the United States. The line's ships cruise worldwide and are marketed to both American and international passengers. The company was made famous by The Love Boat TV series, in which its ship, Pacific Princess was featured. In May 2013, the brand new Royal Princess became the flagship of Princess Cruises, and was joined by her sister-ship Regal Princess in May 2014 and will be joined by Majestic Princess in the spring of 2017.",Alaska Cruise America
8,"Alcatraz Island is located in the San Francisco Bay, 1.25 miles (2.01 km) offshore from San Francisco, California, United States. The small island was developed with facilities for a lighthouse, a military fortification, a military prison (1868), and a federal prison from 1933 until 1963. Beginning in November 1969, the island was occupied for more than 19 months by a group of aboriginal people from San Francisco who were part of a wave of Native activism across the nation with public protests through the 1970s. In 1972, Alcatraz became a national recreation area and received designation as a National Historic Landmark in 1986. Today, the island's facilities are managed by the National Park Service as part of the Golden Gate National Recreation Area; it is open to tours. Visitors can reach the island by ferry ride from Pier 33, near Fisherman's Wharf, San Francisco. Hornblower Cruises and Events, operating under the name Alcatraz Cruises, is the official ferry provider to and from the island. It is home to the abandoned prison, the site of the oldest operating lighthouse on the West Coast of the United States, early military fortifications, and natural features such as rock pools and a seabird colony (mostly western gulls, cormorants, and egrets). According to a 1971 documentary on the history of Alcatraz, the island measures 1,675 feet (511 m) by 590 feet (180 m) and is 135 feet (41 m) at highest point during mean tide. However, the total area of the island is reported to be 22 acres (8.9 ha). Landmarks on the island include the Main Cellhouse, Dining Hall, Library, Lighthouse, the ruins of the Warden's House and Officers' Club, Parade Grounds, Building 64, Water Tower, New Industries Building, Model Industries Building, and the Recreation Yard.",Alcatraz Island America
9,"The Bulletin of the American Museum of Natural History (Bull. Am. Mus. Nat. Hist.) is a peer-reviewed scientific journal in the fields of zoology, paleontology, and geology. It is part of a group of journals published by the American Museum of Natural History, in which context it is commonly referred to as the Bulletin to distinguish it from other series of journals published by the museum. The Bulletin was founded in 1881, originally for publishing short papers. One of its first editors was the American zoologist and ornithologist Joel Asaph Allen. Scientists and naturalists who published in the journal in its early years included Sir John William Dawson, Lucius Eugene Chittenden, Jules Marcou, Ezra Brainerd, Edgar Alexander Mearns, Maximilian von Wied. In the 1920s, the role of publishing short papers was taken over by the Novitates series, and the Bulletin began publishing longer papers that had previously been the remit of the Memoirs series. Beginning with volume 23 (1907), information on anthropological matters was published in Anthropological Papers. The Bulletin is currently (as of 2009) published at irregular intervals.",American Museum of Natural Hist America
10,"In usage in the United States, a bayou (/ba.u/ or /ba.o/, from Cajun French) is a body of water typically found in a flat, low-lying area, and can be either an extremely slow-moving stream or river (often with a poorly defined shoreline), or a marshy lake or wetland. The name ""bayou"" can also refer to a creek whose current reverses daily due to tides and which contains brackish water highly conducive to fish life and plankton. Bayous are commonly found in the Gulf Coast region of the southern United States, notably the Mississippi River Delta, with the states of Louisiana and Texas being famous for them. A bayou is frequently an anabranch or minor braid of a braided channel that is moving much more slowly than the mainstem, often becoming boggy and stagnant. Though fauna varies by region, many bayous are home to crawfish, certain species of shrimp, other shellfish, catfish, frogs, toads, American alligators, American crocodiles, herons, turtles, spoonbills, snakes, leeches and myriad other species.",Bayous America
